_id,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
1,472085,,沖縄県,浦添市,浦添市役所,ウラソエシヤクショ,沖縄県浦添市安波茶1-1-1,,26.245787,127.721828,,,,,,,,,,,http://www.city.urasoe.lg.jp/,
2,472085,,沖縄県,浦添市,浦添市美術館,ウラソエシビジュツカン,沖縄県浦添市仲間1-9-2,,26.249927,127.719496,,,,,,,,,,,http://museum.city.urasoe.lg.jp/,
3,472085,,沖縄県,浦添市,浦添市立中央公民館,ウラソエシリツチュウオウコウミンカン,沖縄県浦添市安波茶1-1-2,,26.245927,127.721152,,,,,,,,,,,https://www.city.urasoe.lg.jp/soshiki/kyoikuiinkai/kyouikubu/chuoukouminkan/,
4,472085,,沖縄県,浦添市,浦添市立中央公民館　分館,ウラソエシリツチュウオウコウミンカン　ブンカン,沖縄県浦添市牧港3-40-6,,26.255891,127.730803,,,,,,,,,,,,
5,472085,,沖縄県,浦添市,浦添市保健相談センター,ウラソエシホケンソウダンセンター,沖縄県浦添市仲間1-8-1,,26.249096,127.719776,,,,,,,,,,,,
6,472085,,沖縄県,浦添市,ANA ARENA 浦添　(浦添市民体育館),アナ　アリーナ ウラソエ　(ウラソエシミンタイイクカン),沖縄県浦添市仲間1-13-1,,26.250484,127.722843,,,,,,,,,,,http://urataishisetsu.jp/,
7,472085,,沖縄県,浦添市,ANA FIELD　浦添　(浦添市陸上競技場),アナ　フィールド　ウラソエ　(ウラソエシリクジョウキョウギジョウ),沖縄県浦添市仲間1-13-1,,26.25211,127.722057,,,,,,,,,,,http://urataishisetsu.jp/,
8,472085,,沖縄県,浦添市,ANA BALL PARK 　(浦添市民球場),アナ　ボール　パーク 　(ウラソエシミンキュウジョウ),沖縄県浦添市仲間1-13-1,,26.25131,127.724542,,,,,,,,,,,http://urataishisetsu.jp/,
9,472085,,沖縄県,浦添市,ANA SPORTS HALL てだこ　(浦添市多目的屋内運動場),アナ　スポーツ　ホール テダコ　(ウラソエシミンタモクテキオクナイウンドウジョウ),沖縄県浦添市仲間1-13-1,,26.252236,127.723753,,,,,,,,,,,http://urataishisetsu.jp/,
10,472085,,沖縄県,浦添市,ANA まじゅんらんど　浦添　(浦添温水プールまじゅんらんど),アナ　マジュンランド　ウラソエ　(ウラソエオンスイプールマジュンランド),沖縄県浦添市仲間1-13-1,,26.252236,127.723753,,,,,,,,,,,http://www.majunland.com/,
11,472085,,沖縄県,浦添市,浦添市産業振興センター・結の街,ウラソエシサンギョウシンコウセンター・ユイノマチ,沖縄県浦添市勢理客4-13-1,,26.246031,127.689837,,,,,,,,,,,,
12,472085,,沖縄県,浦添市,浦添市地域福祉センター,ウラソエシチイキフクシセンター,沖縄県浦添市内間2-18-2,,26.235988,127.704876,,,,,,,,,,,,
13,472085,,沖縄県,浦添市,浦添市かりゆしセンター,ウラソエシカリユシセンター,沖縄県浦添市西原4-11-8,,26.250038,127.743903,,,,,,,,,,,http://www.urasoe-kariyushi.com/summary/,
14,472085,,沖縄県,浦添市,サン・アビリティーズうらそえ,サン・アビリティーズウラソエ,沖縄県浦添市宮城4-11-1,,26.244027,127.704886,,,,,,,,,,,,
15,472085,,沖縄県,浦添市,浦添市立経塚児童センター,ウラソエシリツキョウヅカジドウセンター,沖縄県浦添市経塚1-17-1,,26.240278,127.722493,,,,,,,,,,,http://www.city.urasoe.okinawa.jp/cgi/jidoc/kyouzuka/index.cgi,
16,472085,,沖縄県,浦添市,浦添市てだこホール,ウラソエシテダコホール,沖縄県浦添市仲間1-9-3,,26.250113,127.720576,,,,,,,,,,,http://www.tedakohall.jp/,
17,472085,,沖縄県,浦添市,小湾自治会,コワンジチカイ,沖縄県浦添市宮城6-13-1,,26.243944,127.706903,,,,,,,,,,,https://www.city.urasoe.lg.jp/docs/2014110102233/,
18,472085,,沖縄県,浦添市,城間公民館,グスクマコウミンカン,沖縄県浦添市城間1-9-1,,26.255726,127.70966,,,,,,,,,,,https://www.city.urasoe.lg.jp/docs/2014110101472/,
19,472085,,沖縄県,浦添市,宮城自治会,ミヤギジチカイ,沖縄県浦添市宮城2-22-3,,26.248457,127.704664,,,,,,,,,,,https://www.city.urasoe.lg.jp/docs/2014110102027/,
20,472085,,沖縄県,浦添市,国立劇場おきなわ,コクリツゲキジョウオキナワ,沖縄県浦添市勢理客4-14-1,,26.24632,127.688629,,,,,,,,,,,http://www.nt-okinawa.or.jp/,
21,472085,,沖縄県,浦添市,浦添市社会福祉協議会,ウラソエシシャカイフクシキョウギカイ,沖縄県浦添市仲間1-10-7,,26.248736,127.722057,,,,,,,,,,,http://www2.urasoeshakyo.org/,
22,472085,,沖縄県,浦添市,沖縄県中央卸売市場,オキナワケンチュウオウオロシウリイチバ,沖縄県浦添市伊奈武瀬1-11-1,,26.247207,127.669809,,,,,,,,,,,http://www.pref.okinawa.jp/site/norin/oroshiuri/,
23,472085,,沖縄県,浦添市,浦添大公園管理事務所,ウラソエダイコウエンカンリジムショ,沖縄県浦添市字伊祖115-1,,26.254594,127.726651,,,,,,,,,,,http://okiryoku.org/park/,
24,472085,,沖縄県,浦添市,浦添年金事務所,ウラソエネンキンジムショ,沖縄県浦添市内間3-3-25,,26.235179,127.703401,,,,,,,,,,,http://www.nenkin.go.jp/n/www/section/detail.jsp?id=3571&part_id=270,
25,472085,,沖縄県,浦添市,軽自動車検査協会,ケイジドウシャケンサキョウカイ,沖縄県浦添市字港川512-12,,26.274105,127.71502,,,,,,,,,,,http://www.keikenkyo.or.jp/okinawa/okinawa_000245.html,
26,472085,,沖縄県,浦添市,鏡が丘特別支援学校,カガミガオカトクベツシエンガッコウ,沖縄県浦添市当山3-2-7,,26.24585,127.736822,,,,,,,,,,,http://www.kagamigaoka-sh.open.ed.jp/,
27,472085,,沖縄県,浦添市,浦添職業能力開発校,ウラソエショクギョウノウリョクカイハツコウ,沖縄県浦添市字大平531,,26.242009,127.713075,,,,,,,,,,,http://www.pref.okinawa.jp/site/shoko/shokuno-urse/,
28,472085,,沖縄県,浦添市,沖縄療育園,オキナワリョウイクエン,沖縄県浦添市字経塚714,,26.236987,127.725447,,,,,,,,,,,http://www.okinawa-j.jp/institution.php?i=1,
29,472085,,沖縄県,浦添市,沖縄県卸商業団地協同組合,オキナワケンオロシショウギョウダンチキョウドウクミアイ,沖縄県浦添市西洲2-6-6,,26.253453,127.690087,,,,,,,,,,,http://www.oroshinet.or.jp/,
30,472085,,沖縄県,浦添市,浦添小学校,ウラソエショウガッコウ,沖縄県浦添市仲間2-47-1,,26.246659,127.729657,,,,,,,,,,,http://www.urasoe.ed.jp/e01/,
31,472085,,沖縄県,浦添市,仲西小学校,ナカニシショウガッコウ,沖縄県浦添市屋富祖2-32-1,,26.250133,127.706821,,,,,,,,,,,http://www.urasoe.ed.jp/e02/,
32,472085,,沖縄県,浦添市,神森小学校,カミモリショウガッコウ,沖縄県浦添市勢理客1-4-1,,26.24204,127.699975,,,,,,,,,,,http://www.urasoe.ed.jp/e03/,
33,472085,,沖縄県,浦添市,浦城小学校,ウラシロショウガッコウ,沖縄県浦添市伊祖2-13-1,,26.253842,127.716727,,,,,,,,,,,http://www.urasoe.ed.jp/e04/,
34,472085,,沖縄県,浦添市,牧港小学校,マキミナトショウガッコウ,沖縄県浦添市牧港2-14-1,,26.259151,127.724906,,,,,,,,,,,http://www.urasoe.ed.jp/e05/,
35,472085,,沖縄県,浦添市,当山小学校,トウヤマショウガッコウ,沖縄県浦添市当山2-34-1,,26.251947,127.733908,,,,,,,,,,,http://www.urasoe.ed.jp/e06/,
36,472085,,沖縄県,浦添市,内間小学校,ウチマショウガッコウ,沖縄県浦添市内間4-3-1,,26.239024,127.70437,,,,,,,,,,,http://www.urasoe.ed.jp/e07/,
37,472085,,沖縄県,浦添市,港川小学校,ミナトガワショウガッコウ,沖縄県浦添市城間4-37-1,,26.260795,127.716359,,,,,,,,,,,http://www.urasoe.ed.jp/e08/,
38,472085,,沖縄県,浦添市,宮城小学校,ミヤギショウガッコウ,沖縄県浦添市宮城3-7-3,,26.24706,127.706494,,,,,,,,,,,http://www.urasoe.ed.jp/e09/,
39,472085,,沖縄県,浦添市,沢岻小学校,タクシショウガッコウ,沖縄県浦添市字沢岻998,,26.237151,127.717334,,,,,,,,,,,http://www.urasoe.ed.jp/e10/,
40,472085,,沖縄県,浦添市,前田小学校,マエダショウガッコウ,沖縄県浦添市字前田333,,26.239112,127.733912,,,,,,,,,,,http://www.urasoe.ed.jp/e11/,
41,472085,,沖縄県,浦添市,浦添中学校,ウラソエチュウガッコウ,沖縄県浦添市仲間2-46-1,,26.24591,127.727509,,,,,,,,,,,http://www.urasoe.ed.jp/j01/,
42,472085,,沖縄県,浦添市,仲西中学校,ナカニシチュウガッコウ,沖縄県浦添市屋富祖2-13-1,,26.250284,127.709593,,,,,,,,,,,http://www.urasoe.ed.jp/j02/,
43,472085,,沖縄県,浦添市,神森中学校,カミモリチュウガッコウ,沖縄県浦添市内間1-6-1,,26.239553,127.70738,,,,,,,,,,,http://www.urasoe.ed.jp/j03/,
44,472085,,沖縄県,浦添市,港川中学校,ミナトガワチュウガッコウ,沖縄県浦添市港川1-1-1,,26.261445,127.718276,,,,,,,,,,,http://www.urasoe.ed.jp/j04/,
45,472085,,沖縄県,浦添市,浦西中学校,ウラニシチュウガッコウ,沖縄県浦添市当山3-1-1,,26.248479,127.73575,,,,,,,,,,,http://www.urasoe.ed.jp/j05/,
46,472085,,沖縄県,浦添市,浦添高等学校,ウラソエコウトウガッコウ,沖縄県浦添市内間3-26-1,,26.237673,127.702807,,,,,,,,,,,http://www.urasoe-h.open.ed.jp/,
47,472085,,沖縄県,浦添市,浦添商業高等学校,ウラソエショウギョウコウトウガッコウ,沖縄県浦添市伊祖3-11-1,,26.259061,127.7205,,,,,,,,,,,http://www.urasoe-ch.open.ed.jp/,
48,472085,,沖縄県,浦添市,那覇工業高等学校,ナハコウギョウコウトウガッコウ,沖縄県浦添市勢理客4-22-1,,26.243642,127.686816,,,,,,,,,,,http://www.naha-th.open.ed.jp/,
49,472085,,沖縄県,浦添市,陽明高等学校,ヨウメイコウトウガッコウ,沖縄県浦添市字大平488,,26.244046,127.711848,,,,,,,,,,,http://www.yomei-h.open.ed.jp/,
50,472085,,沖縄県,浦添市,浦添工業高等学校,ウラソエコウギョウコウトウガッコウ,沖縄県浦添市経塚1-1-1,,26.24319,127.722311,,,,,,,,,,,http://www.urasoe-th.open.ed.jp/,
51,472085,,沖縄県,浦添市,昭和薬科大学附属高等学校,ショウワヤッカダイガクフゾクコウトウガッコウ,沖縄県浦添市字沢岻450,,26.237942,127.713227,,,,,,,,,,,http://www.showayakka-jh.ed.jp/,
