_id,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
1,472115,1,沖縄県,沖縄市,アマミクヌムイ　ごゑく,アマミクヌムイ　ゴヱク,越来グスク,,重要文化財,その他,,沖縄県沖縄市城前町359-2,,26.340628,127.812865,,,,,,管理者：越来共有会、沖縄市,2019-10-16,,,,,,,,,,,,
2,472115,2,沖縄県,沖縄市,三線　平中知念型銘時受,サンセン　ヒラナカチネンガタメイトキウケ,,,県指定重要文化財,美術工芸品,,沖縄県非公開,,,,,,,,,個人所有,1994-03-15,,,,,,,,,,,,
3,472115,3,沖縄県,沖縄市,泡瀬の京太郎,アワセノチョンダラー,泡瀬の京太郎,,県指定重要民俗文化財,芸能,,沖縄県沖縄市泡瀬2ｰ71ｰ7,,26.320709,127.832648,,,,,,泡瀬京太郎保存会,1980-03-31,,,,,,,,,,,,
4,472115,4,沖縄県,沖縄市,泡瀬ビジュル（社殿、鳥居、手水鉢）,アワセビジュル（シャデン、トリイ、チョウズバチ）,泡瀬ビジュル,,市指定重要文化財,建造物,,沖縄県沖縄市泡瀬2ｰ71ｰ3、4、5,,26.320692,127.832984,,,,,,管理者：泡瀬復興期成会,2009-03-27,,,,,,,,,,,,
5,472115,5,沖縄県,沖縄市,上地のバーキ（與志平朝蒲製作竹細工）,ウエチノバーキ（ヨシヒラチョウホセイサクタケザイク）,上地のバーキ,,市指定重要文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,2009-03-27,火水木金土日,09:00,17:00,,,,,,,,,
6,472115,6,沖縄県,沖縄市,ハル石（印部石　ミ　赤ひら原）,ハルイシ（シルベイシ　ミ　アカヒラバル）,ハル石　赤ひら原,,市指定重要文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,2016-03-02,火水木金土日,09:00,17:00,,,,,,,,,
7,472115,7,沖縄県,沖縄市,ハル石（印部石　ア　木の下原）,ハルイシ（シルベイシ　ア　キノシタバル）,ハル石　木の下原,,市指定重要文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,2016-03-02,火水木金土日,09:00,17:00,,,,,,,,,
8,472115,8,沖縄県,沖縄市,ハル石（印部石　さ　さく原）,ハルイシ（シルベイシ　サ　サクバル）,ハル石　さく原,,市指定重要文化財,その他,,沖縄県沖縄市美里3,,26.347708,127.812328,,,,,,管理者：美里自治会,2016-03-02,,,,,,,,,,,,
9,472115,9,沖縄県,沖縄市,美里の龕,ミサトノガン,美里の龕,,市指定重要民俗文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,1994-09-22,火水木金土日,09:00,17:00,,,,,,,,,
20,472115,20,沖縄県,沖縄市,美里のセークガー,ミサトノセークガー,セークガー,,市指定登録記念物,その他,,沖縄県沖縄市美里2ｰ417,,26.345522,127.814763,,,,,,管理者：美里自治会,1994-09-22,,,,,,,,,,,,
10,472115,10,沖縄県,沖縄市,木綿紺地経緯絣花織衣裳,モメンコンジタテヨコカスリハナウイイショウ,知花花織　馬乗上着,,市指定重要民俗文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,2000-12-06,火水木金土日,09:00,17:00,,,,,,,,,
11,472115,11,沖縄県,沖縄市,木綿紺地経浮花織衣裳,モメンコンジタテウキハナウイイショウ,知花花織　馬乗袴,,市指定重要民俗文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,2000-12-06,火水木金土日,09:00,17:00,,,,,,,,,
12,472115,12,沖縄県,沖縄市,木綿芭蕉紺地経絣縫取花織衣裳,モメンバショウコンジタテカスリヌイトリハナウイイショウ,知花花織　ウッチャキ,,市指定重要民俗文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,2000-12-06,火水木金土日,09:00,17:00,,,,,,,,,
13,472115,13,沖縄県,沖縄市,池原十五夜行事,イケハラジュウゴヤギョウジ,池原の十五夜行事,,市指定重要民俗文化財,その他,,沖縄県沖縄市池原1ｰ25ｰ15,,26.378928,127.827899,,,,,,主催者：池原自治会,2009-03-27,,,,,,,,,,,,
14,472115,14,沖縄県,沖縄市,上之殿毛,イーヌトゥヌモー,上之殿毛,,市指定重要民俗文化財,その他,,沖縄県沖縄市知花5－912,,26.36342,127.810833,,,,,,管理者：松本自治会,2009-03-27,,,,,,,,,,,,
15,472115,15,沖縄県,沖縄市,古謝のビジュル,コジャノビジュル,古謝のビジュル,,市指定重要民俗文化財,その他,,沖縄県沖縄市字古謝164,,26.336068,127.833485,,,,,,管理者：古謝自治会,2009-03-27,,,,,,,,,,,,
16,472115,16,沖縄県,沖縄市,諸見里の旗スガシー,モロミザトノハタスガシー,諸見里の旗スガシー,,市指定重要民俗文化財,その他,,沖縄県沖縄市諸見里1ｰ29ｰ15,,26.329196,127.792122,,,,,,主催者：諸見里自治会,2009-03-27,,,,,,,,,,,,
17,472115,17,沖縄県,沖縄市,諸見里の村旗,モロミザトノムラバタ,諸見里の村旗,,市指定重要民俗文化財,その他,,沖縄県沖縄市上地2ｰ19ｰ6,沖縄市文化センター3F,26.331728,127.795007,(098)932-6882,,,,,沖縄市立郷土博物館収蔵,2009-03-27,火水木金土日,09:00,17:00,,,,,,,,,
18,472115,18,沖縄県,沖縄市,鬼大城の墓,ウニウフグシクノハカ,鬼大城の墓,,市指定登録記念物,その他,,沖縄県沖縄市知花5－895ｰ1,,26.362667,127.811008,,,,,,管理者：門中所有,1980-10-23,,,,,,,,,,,,
19,472115,19,沖縄県,沖縄市,カフンジャー橋,カフンジャーバシ,カフンジャー橋,,市指定登録記念物,その他,,沖縄県沖縄市字美里,無番地,26.353787,127.813003,,,,,,管理者：沖縄市,1980-10-31,,,,,,,,,,,,
21,472115,21,沖縄県,沖縄市,美里のヒージャーガー,ミサトノヒージャーガー,ヒージャーガー,,市指定登録記念物,その他,,沖縄県沖縄市美里3-383,,26.346721,127.814969,,,,,,管理者：美里自治会,1994-09-22,,,,,,,,,,,,
22,472115,22,沖縄県,沖縄市,奉安殿,ホウアンデン,奉安殿,,市指定登録記念物,その他,,沖縄県沖縄市知花弁当原528ｰ3,,26.364634,127.819754,,,,,,管理者：沖縄市,1997-02-05,,,,,,,,,,,,
23,472115,23,沖縄県,沖縄市,忠魂碑,チュウコンヒ,忠魂碑,,市指定登録記念物,その他,,沖縄県沖縄市知花弁当原528ｰ3,,26.364248,127.819882,,,,,,管理者：沖縄市,1997-02-05,,,,,,,,,,,,
24,472115,24,沖縄県,沖縄市,室川貝塚,ムロカワカイヅカ,室川貝塚,,市指定登録記念物,その他,,沖縄県沖縄市室川1ｰ128ｰ2,,26.334696,127.805393,,,,,,管理者：沖縄市,1997-02-05,,,,,,,,,,,,
25,472115,25,沖縄県,沖縄市,室川井,ムルガー,ムロカーガー,,市指定登録記念物,その他,,沖縄県沖縄市室川1ｰ84,,26.335565,127.80504,,,,,,管理者：胡屋共有会,1997-02-05,,,,,,,,,,,,
