_id,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
1,472131,115,沖縄県,うるま市,沖縄県立中部病院　,オキナワケンリツナカベビョウイン　,病院,沖縄県うるま市字宮里281　,,26.35565562,127.833808,(098)973-4111,,,,,,,,,,,内科;呼吸器内科;消化器内科;循環器内科;神経内科;心療内科;外科;呼吸器外科;消化器外科;気管食道外科;肛門外科;心臓血管外科;脳神経外科;小児外科;整形外科;形成外科;精神科;アレルギー科;リウマチ科;小児科;皮膚科;泌尿器科;産科;婦人科;眼科;耳鼻咽喉科;リハビリテーション科;放射線科;病理診断科;救急科;歯科口腔外科;麻酔科;腎臓内科;血液;腫瘍内科;感染症内科;糖尿病;代謝内科;内分泌内科;乳腺外科;耳鼻咽喉;頭頸部外科;新生児内科;緩和ケア内科,0.0,,
2,472131,123,沖縄県,うるま市,医療法人社団志誠会　平和病院,イリョウホウジンシャダンココロザシマコトカイ　ヘイワビョウイン,病院,沖縄県うるま市字上江洲665　,,26.35925576,127.8595441,(098)973-2000,,,,,,,,,,,精神科;心療内科,0.0,,
3,472131,125,沖縄県,うるま市,いずみ病院,イズミビョウイン,病院,沖縄県うるま市字栄野比1150　,,26.39749011,127.8278101,(098)972-7788,,,,,,,,,,,精神科;内科;心療内科,0.0,,
4,472131,129,沖縄県,うるま市,医療法人沖縄寿光会　与勝病院,イリョウホウジンオキナワジュコウカイ　ヨカツビョウイン,病院,沖縄県うるま市勝連南風原3584　,,26.3266236,127.8827137,(098)978-5235,,,,,,,,,,,内科;外科;整形外科;耳鼻咽喉科;循環器内科;呼吸器内科;消化器外科;皮膚科;リハビリテーション科;腎臓内科;人工透析内科;歯科;歯科口腔外科,0.0,,
5,472131,131,沖縄県,うるま市,うるま記念病院,ウルマキネンビョウイン,病院,沖縄県うるま市字昆布1832‐397,,26.39641829,127.8404396,(098)972-6000,,,,,,,,,,,精神科;内科;老年精神科;リハビリテーション科 ,0.0,,
6,472131,138,沖縄県,うるま市,名城病院,ナシロビョウイン,病院,沖縄県うるま市字赤道175‐3,,26.35357244,127.8305611,(098)974-2121,,,,,,,,,,,産科;婦人科,0.0,,
7,472131,144,沖縄県,うるま市,海上自衛隊沖縄基地隊医務室,カイジョウジエイタイオキナワキチタイイムシツ,有床診療所,沖縄県うるま市勝連平敷屋1920　,,26.30839587,127.9145646,(098)978-3453,,,,,,,,,,,内科;外科;歯科,0.0,,
8,472131,150,沖縄県,うるま市,特別養護老人ホーム楽寿園診療所,トクベツヨウゴロウジンホームラクジュエンシンリョウジョ,無床診療所,沖縄県うるま市石川嘉手苅961‐17,,26.4253311,127.7975918,(098)965-4152,,,,,,,,,,,内科;外科;消化器科,0.0,,
9,472131,151,沖縄県,うるま市,特別養護老人ホーム与勝の里医務室,トクベツヨウゴロウジンホームヨカツノサトイムシツ,無床診療所,沖縄県うるま市勝連南風原4902　,,26.34214967,127.8770784,(098)978-2629,,,,,,,,,,,内科;外科,0.0,,
10,472131,152,沖縄県,うるま市,特別養護老人ホーム平和の村医務室,トクベツヨウゴロウジンホームヘイワノソンイムシツ,無床診療所,沖縄県うるま市字昆布1832‐1,,26.39874306,127.839884,(098)972-5000,,,,,,,,,,,内科;皮膚科,0.0,,
11,472131,162,沖縄県,うるま市,山田小児科内科医院,ヤマダショウニカナイカイイン,無床診療所,沖縄県うるま市石川東山1ｰ19‐11,,26.43527874,127.8379576,(098)965-3577,,,,,,,,,,,内科;小児科,0.0,,
12,472131,166,沖縄県,うるま市,宮里眼科,ミヤザトガンカ,無床診療所,沖縄県うるま市石川東山1ｰ22‐2,,26.43508985,127.8374938,(098)965-2536,,,,,,,,,,,眼科,0.0,,
13,472131,167,沖縄県,うるま市,中山内科医院,ナカヤマナイカイイン,無床診療所,沖縄県うるま市字赤道260‐7,,26.35592221,127.8306277,(098)974-4620,,,,,,,,,,,内科;小児科;皮膚科,0.0,,
14,472131,170,沖縄県,うるま市,川根内科外科　血管外科クリニック,カワネナイカゲカケッカンゲカクリニック,無床診療所,沖縄県うるま市みどり町4ｰ2‐29,,26.37842042,127.8567663,(098)974-3025,,,,,,,,,,,内科;小児科;皮膚科;外科;整形外科;麻酔科;血管外科,0.0,,
15,472131,174,沖縄県,うるま市,沖縄県立中部病院附属津堅診療所,チュウブビョウインフゾクツケンシンリョウショ,無床診療所,沖縄県うるま市勝連津堅1582　,,26.24861355,127.938714,(098)978-2918,,,,,,,,,,,内科;小児科;外科,0.0,,
16,472131,178,沖縄県,うるま市,医療法人うるま会　具志川整形外科,グシカワセイケイゲカ,無床診療所,沖縄県うるま市みどり町4ｰ13‐1,,26.37649281,127.8555498,(098)974-2610,,,,,,,,,,,整形外科;リハビリテ－ション科,0.0,,
17,472131,179,沖縄県,うるま市,しげま小児科医院,シゲマショウニカイイン,無床診療所,沖縄県うるま市みどり町3ｰ18‐12,,26.37420979,127.8590606,(098)973-2300,,,,,,,,,,,小児科;内科;皮膚科;耳鼻咽喉科,0.0,,
18,472131,183,沖縄県,うるま市,みどり町眼科,ミドリマチガンカ,無床診療所,沖縄県うるま市みどり町4ｰ14‐7,号ｺｰﾎﾟ仲宗根1階,26.37590677,127.8557082,(098)974-2300,,,,,,,,,,,眼科,0.0,,
