_id,NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,1,南桃原二丁目公園,ミナミトウバルニチョウメコウエン,沖縄県沖縄市南桃原2-5,,26.31852006,127.7822035,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
2,2,諸見里公園,モロミザトコウエン,沖縄県沖縄市園田3-25,,26.32672024,127.7963947,,,,47211,沖縄県,沖縄市,1,,1,1,1,,,,,,,,
3,3,若夏公園,ワカナツコウエン,沖縄県沖縄市東2-23,,26.34525568,127.824246,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
4,4,マンタ公園,マンタコウエン,沖縄県沖縄市海邦2-13,,26.33182029,127.8349648,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,,,,,
5,5,松本都市緑地,マツモトトチリョクチ,沖縄県沖縄市松本1-10,,26.35437758,127.8166858,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
6,6,馬場都市緑地,ババトシリョクチ,沖縄県沖縄市知花6-41,,26.36592315,127.8172958,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
7,7,センター公園,センターコウエン,沖縄県沖縄市嘉間良1-1,,26.3403425,127.8026493,,,,47211,沖縄県,沖縄市,1,,1,1,1,,,,,,,,
8,8,明道公園,アケミチコウエン,沖縄県沖縄市明道1-13,,26.3563335,127.8220533,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
9,9,美里公園,ミサトコウエン,沖縄県沖縄市美原4-4,,26.34862873,127.8195605,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
10,10,黒潮公園,クロシオコウエン,沖縄県沖縄市泡瀬2-34,,26.31754159,127.8348412,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,,,,,
11,11,美東公園,ビトウコウエン,沖縄県沖縄市高原5-20,,26.32165735,127.8272543,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,,,,,
12,12,越来小学校（運動場）,ゴエクショウガッコウ（ウンドウジョウ）,沖縄県沖縄市越来1-2-2,,26.342561,127.812369,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
13,13,コザ小学校（運動場）,コザショウガッコウ（ウンドウジョウ）,沖縄県沖縄市中央4-16-1,,26.342548,127.800729,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
14,14,中の町小学校（運動場）,ナカノマチショウガッコウ（ウンドウジョウ）,沖縄県沖縄市上地3-4-1,,26.333113,127.793205,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
15,15,安慶田小学校（運動場）,アゲタショウガッコウ（ウンドウジョウ）,沖縄県沖縄市安慶田2-18-1,,26.334965,127.813403,,,,47211,沖縄県,沖縄市,,1,1,1,1,,,,,,,,
16,16,諸見小学校（運動場）,モロミショウガッコウ（ウンドウジョウ）,沖縄県沖縄市胡屋2-3-1,,26.333372,127.800322,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
17,17,島袋小学校（運動場）,シマブクロショウガッコウ（ウンドウジョウ）,沖縄県沖縄市久保田2-21-1,,26.324894,127.798209,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
18,18,山内小学校（運動場）,ヤマウチショウガッコウ（ウンドウジョウ）,沖縄県沖縄市山内2-32-2,,26.3248,127.784247,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
