地域名,AED,文化,避難,医療
うるま市,,,,c4bc7f32-7c7d-43a7-b388-af2864241c4c
粟国村,,,,b18ab316-88fa-4164-ac66-086fa0adf40d
伊江村,,,,4f51e806-3d91-4f08-b29f-9cf1c6fbf4eb
伊是名村,,,,ebb3d15c-af13-4390-abb4-cb9600c73556
伊平屋村,,,,4ff131f4-c45d-49a1-8fbf-4789acc6fb8f
浦添市,caf57ee4-5349-47a0-9ce2-53c611fe1414,,,effcbb67-4b63-4b13-a89b-f6bd4bcdcd9b
沖縄市,819cc401-5016-4714-b1b8-09f50ee99b30,3284ef22-16b0-44df-ba7b-280d6dcfd165,fa87aa81-f6ce-4200-86e3-2bbc74584fee,e9d44b30-7e8f-44e8-992e-9a6b5a8b7d62
恩納村,,,,e45f1d4e-902b-40c6-a480-0317c57c69fa
嘉手納町,,,,71190f5e-75f5-49bd-8504-c94fb90a952a
宜野座村,d9eca4e0-2197-4ea7-800f-413525d60abe,a14d89da-6839-4c96-81b8-b67764377aae,b7d9c6cf-0ca2-42ec-9863-9482e419d4a8,c279810d-5fca-4b4d-a93c-03c53fdfe7a1
宜野湾市,023684ba-e75c-4f7b-b422-d1c170574f8e,c05e9102-c5de-4fba-b84e-f65ac6b0b3e0,0c718732-b466-4a9a-9c6a-655682d8345a,15bbdcf4-13b5-45c4-801a-c048a959880d
久米島町,,,,dd1f4584-3e44-4329-aadb-1d918a67152f
宮古島市,,,,099107f5-3368-4b1f-ba47-343985278cb0
金武町,,,,29f758a4-0e0f-4a45-8ee9-dfb5d09324cc
国頭村,,,,19570a5f-d392-4009-9f49-6b492f60cf28
今帰仁村,,,,6aaae374-34fc-4ebc-a679-f03a49155296
座間味村,,,,3f7c541d-1858-43e5-b291-83c8bd49101c
糸満市,,,98ab78bd-99be-4665-8c50-13b2a3d2efbd,317f722e-f6db-49d2-a1d2-a65da93731c8
西原町,,,,40657a34-31db-4100-9cda-657da44e2419
石垣市,,,,a73f09eb-2cf8-4bed-ba2f-5026a0d78181
多良間村,,,,e2ce01a3-682d-4971-bf14-a021e836433a
大宜味村,95be4edf-b50e-45a2-843f-b23213cc670e,eaf41f58-7205-4f53-9bd0-d462e4201abe,cf876452-e4a3-430a-9484-7fb1a2cbaed8,78682082-cabe-46eb-bd1b-84aca6f7b655
竹富町,,,,56f6f09b-e3b2-4d9c-bb67-d7ce0bc6595b
中城村,9ed16a1f-2d28-4dfe-9495-b89a758acc7c,,,acc2af7a-0b75-4dd4-8c87-3c88b3bc17ec
渡嘉敷村,,,,fe6e27f3-4d2c-4784-9469-8806d569eb40
渡名喜村,12508a19-486f-47a6-a9b7-a624948f42db,283e6f1f-fef3-4907-8382-65d41d8a6877,bef082a7-5858-4801-9a68-9cf9a711b98f,9a7bb369-ce03-4bbc-9f14-216c6041599e
東村,,,,f0abf11d-661a-44f1-85c4-568180314b4f
読谷村,bcf72280-7126-44df-81f8-fe1e39dc8679,9e14e9da-b569-4f23-95a4-1eef4600c896,35fca548-872d-46a1-a38b-64abb8d22314,2a4b3121-fc91-4d1d-8bf5-9cf5e3c3971d
那覇市,7d3365f4-71f8-420c-8a20-5252fd66f448,889ddb57-cf16-438e-ad69-25be2c98ec3a,f1edac49-5715-498e-a985-6cdb4af3b4d9,
南城市,0106f818-dd7f-4150-bb5e-4207243d8b52,928764f8-3c8d-4ad1-a269-9547bc788549,e0d8ac3b-a4f3-43ec-9d31-604fdf2c5677,24885c01-3fa5-4cbf-b9bf-0cf8d34b3683
南大東村,0c5fbc7f-11b7-41b2-849c-91dfa6141b1f,50dae012-8a04-4d5e-84a8-68c0d6e1306b,547d3560-1bf1-4ae7-94ef-c89e0c801af5,066fa9ae-d2f2-4fb6-9d4e-77323c11720d
南風原町,bba8638a-7265-41f6-873e-1649a34e5a18,c01d6f5a-9553-490d-82a2-222308956cbc,33f94815-1d81-4c58-8fd6-7af1f606920d,92db43f6-995a-46c4-8bf9-3c062474b47d
八重瀬町,,,,ce0971cc-213c-4547-80e2-c5ddf7326c15
豊見城市,,,,8ca5271d-8b22-40ad-a0b3-74a81573896c
北大東村,,,,08f9e63f-6a60-4485-99f3-3f7bec00e2e5
北谷町,5fbbd6c2-b6b9-42aa-bbad-63ef4a39e528,,483203de-7dd0-46fd-bd91-d77ea991457e,a48fc9b6-369c-43bc-a8ec-d44c15d47e94
北中城村,fec5412a-5f1a-41ac-b9eb-d8e622e78f09,7c58a41a-6c9e-41b8-8a6f-f40ec7ac34aa,1a1aaa0e-0698-42e0-b318-505ab993804a,cc7b04ad-6715-4835-925a-10b77ea29695
本部町,,,,fc44261f-4030-4958-a16d-f24b46d5dcbb
名護市,dfb69833-3283-4e4a-b278-e9fd7c112145,617623f0-45d9-42c2-9867-24d88697e94a,aa34dacb-0912-4102-a8a2-3dfba6efc006,165cd882-fc6c-4d91-9721-93ebb1d6ccba
与那原町,0bd9a950-d340-443f-b361-b5de6cd01e21,,1c118c74-d0c4-4c5d-8520-e29084719e3d,be5597bc-b9a2-44c1-bf65-b8867d0b4bef
与那国町,,,,f5b9b8c0-6f07-485e-98bc-ef7f7b545f22
